"SiteId","SiteName","SiteUrl","PageCount","MaxDepth","ErrorPages","EmbedCount","PagesWithEmbeds","ExternalDomainCount","PermissionRows","PublicPermissionRows","DomainPermissionRows","GroupPermissionRows","UserPermissionRows","ExternalPrincipalRows","StructurePoints","EmbedPoints","SecurityPoints","TotalScore","Rating","Recommendation"
"1aJ_W44lVXpIYuFnE8BexhJeP5eMbsIIu","Portal","https://sites.google.com/d/1aJ_W44lVXpIYuFnE8BexhJeP5eMbsIIu/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1FO3SOFS18ww9j2zsGBCn5gOJQRm6mifC","Event","https://sites.google.com/d/1FO3SOFS18ww9j2zsGBCn5gOJQRm6mifC/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1zqVbQrCCQAsarfawR5sAInsNHT7uPHCF","Untitled site","https://sites.google.com/d/1zqVbQrCCQAsarfawR5sAInsNHT7uPHCF/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1tYPnPTlXMuk2L-tiuGK58Drq9NGJZ7zp","Untitled Site","https://sites.google.com/d/1tYPnPTlXMuk2L-tiuGK58Drq9NGJZ7zp/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1_XAcjt2Lv6NkfmMtnJlhH7yzgAaI-tNr","test site Juan","https://sites.google.com/d/1_XAcjt2Lv6NkfmMtnJlhH7yzgAaI-tNr/edit","1","0","0","1","1","4","4","0","1","0","3","0","1","11","1","13","Low","Direct migration candidate"
"1tfEv9-z4EKjSYs8rt5EC_8izgl0stejg","SMTP relay security enhancement","https://sites.google.com/d/1tfEv9-z4EKjSYs8rt5EC_8izgl0stejg/edit","1","0","0","1","1","4","2","0","0","0","2","0","1","11","0","12","Low","Direct migration candidate"
"14thQmzUnNSZLQeF0Q-y9njqnel_At0oA","Copy of testing new site loc","https://sites.google.com/d/14thQmzUnNSZLQeF0Q-y9njqnel_At0oA/edit","1","0","0","1","1","4","2","0","0","0","2","0","1","11","0","12","Low","Direct migration candidate"
"1HCFVXtrKeoFi8nDt-nxN5fr7aVrf2JP6","testing new site loc","https://sites.google.com/d/1HCFVXtrKeoFi8nDt-nxN5fr7aVrf2JP6/edit","1","0","0","1","1","4","2","0","0","0","2","0","1","11","0","12","Low","Direct migration candidate"
"1Xm-JdvtzHLSNtNZ7ZNg2hnwt0USiXE_q","tSquad Global","https://sites.google.com/d/1Xm-JdvtzHLSNtNZ7ZNg2hnwt0USiXE_q/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"12CCwYguSgmYIsLSoRldO-5GhGoF5p_Pp","Identity or Messaging","https://sites.google.com/d/12CCwYguSgmYIsLSoRldO-5GhGoF5p_Pp/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1HFDvQYF-L2qK3EjDxFVGqzimDE5WtQeE","Test1","https://sites.google.com/d/1HFDvQYF-L2qK3EjDxFVGqzimDE5WtQeE/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1821RsAfgp82ikNWsWMERw9ndPXwzNUwS","Untitled site","https://sites.google.com/d/1821RsAfgp82ikNWsWMERw9ndPXwzNUwS/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1kklJGzUlgX7CTn48myCnBxvg2eE4ruGJ","Google issues","https://sites.google.com/d/1kklJGzUlgX7CTn48myCnBxvg2eE4ruGJ/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1kMqORkIZLuzZ9BQ_n1ASrWSdbI7pG8fL","DWO Managed Service","https://sites.google.com/d/1kMqORkIZLuzZ9BQ_n1ASrWSdbI7pG8fL/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1IQ1MNEJXYIbXMEGoBTkgiDlKhOKUxLyL","cloudm.roche.com","https://sites.google.com/d/1IQ1MNEJXYIbXMEGoBTkgiDlKhOKUxLyL/edit","1","0","0","1","1","4","2","0","0","0","2","0","1","11","0","12","Low","Direct migration candidate"
"1pN8xJKreJJcxbcw4UhlOKWd18GUvogGM","Open_Madrid","https://sites.google.com/d/1pN8xJKreJJcxbcw4UhlOKWd18GUvogGM/edit","1","0","0","1","1","4","7","0","0","0","7","0","1","11","0","12","Low","Direct migration candidate"
"1sjWkhnVkcyCzBsQa-GClLApr1EeVBDu7","GMC public tools","https://sites.google.com/d/1sjWkhnVkcyCzBsQa-GClLApr1EeVBDu7/edit","1","0","0","1","1","4","2","0","0","1","1","0","1","11","0","12","Low","Direct migration candidate"
"1pS83LXSpB9gybcooY0i8LwnDOy7MsDeq","GMCBot","https://sites.google.com/d/1pS83LXSpB9gybcooY0i8LwnDOy7MsDeq/edit","1","0","0","1","1","4","2","0","0","0","2","0","1","11","0","12","Low","Direct migration candidate"
"1pRaDug4tNCH5eNnpx7npV0t0U0Zavwxt","MessagingPrototype0.1 — Converted from Classic Sites","https://sites.google.com/d/1pRaDug4tNCH5eNnpx7npV0t0U0Zavwxt/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1FMxzh0Bf32DTxu4bMPf54kNmo0XFHjxb","testpushnotifiers","https://sites.google.com/d/1FMxzh0Bf32DTxu4bMPf54kNmo0XFHjxb/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1ghhRouKA2A2b2yazASdogDFjWPLp4qV2","Google Requests","https://sites.google.com/d/1ghhRouKA2A2b2yazASdogDFjWPLp4qV2/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1YgwyRBk1dUEyfGDB5eYfBRc5cv2fJoBs","Untitled site","https://sites.google.com/d/1YgwyRBk1dUEyfGDB5eYfBRc5cv2fJoBs/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1DmyjqecunNljgk5UDBoeQmcp7az-hmN7","Untitled site","https://sites.google.com/d/1DmyjqecunNljgk5UDBoeQmcp7az-hmN7/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1RY8Djr0NVQ42h7sn7rpyUR_dJCYO9sOG","Gmail Best practices and Common errors","https://sites.google.com/d/1RY8Djr0NVQ42h7sn7rpyUR_dJCYO9sOG/edit","1","0","0","1","1","4","5","0","1","0","4","0","1","11","1","13","Low","Direct migration candidate"
"1_J6bzHX0qN9JQQFk0S9kSQDCP3T7OYmU","test not shared","https://sites.google.com/d/1_J6bzHX0qN9JQQFk0S9kSQDCP3T7OYmU/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
